C,*,0
G,#,1
D,#,2
A,#,3
E,#,4
H,#,5
F,b,1
B,b,2
Es,b,3
As,b,4
Des,b,5
Ges,b,6
a,*,0
e,#,1
h,#,2
fis,#,3
cis,#,4
gis,#,5
d,b,1
g,b,2
c,b,3
f,b,4
b,b,5
es,b,6
