C,N,*,0
G,N,#,1
D,N,#,2
A,N,#,3
E,N,#,4
H,N,#,5
F,N,b,1
H,b,b,2
E,b,b,3
A,b,b,4
D,b,b,5
G,b,b,6
a,N,*,0
e,N,#,1
h,N,#,2
f,#,#,3
c,#,#,4
g,#,#,5
d,N,b,1
g,N,b,2
c,N,b,3
f,N,b,4
h,b,b,5
e,b,b,6
